* Player 1 (nb: FFFFFFFF(-1)), weighing 0 bytes, "" () !
It is now cycle 297 || CTD: 1486
It is now cycle 298 || CTD: 1486
It is now cycle 299 || CTD: 1486
It is now cycle 300 || CTD: 1486
It is now cycle 301 || CTD: 1486
It is now cycle 302 || CTD: 1486
It is now cycle 303 || CTD: 1486
It is now cycle 304 || CTD: 1486
It is now cycle 305 || CTD: 1486
It is now cycle 306 || CTD: 1486
It is now cycle 307 || CTD: 1486
It is now cycle 308 || CTD: 1486
It is now cycle 309 || CTD: 1486
It is now cycle 310 || CTD: 1486
It is now cycle 311 || CTD: 1486
It is now cycle 312 || CTD: 1486
It is now cycle 313 || CTD: 1486
It is now cycle 314 || CTD: 1486
It is now cycle 315 || CTD: 1486
It is now cycle 316 || CTD: 1486
It is now cycle 317 || CTD: 1486
It is now cycle 318 || CTD: 1486
It is now cycle 319 || CTD: 1486
It is now cycle 320 || CTD: 1486
It is now cycle 321 || CTD: 1486
It is now cycle 322 || CTD: 1486
It is now cycle 323 || CTD: 1486
It is now cycle 324 || CTD: 1486
It is now cycle 325 || CTD: 1486
It is now cycle 326 || CTD: 1486
It is now cycle 327 || CTD: 1486
It is now cycle 328 || CTD: 1486
It is now cycle 329 || CTD: 1486
It is now cycle 330 || CTD: 1486
It is now cycle 331 || CTD: 1486
It is now cycle 332 || CTD: 1486
It is now cycle 333 || CTD: 1486
It is now cycle 334 || CTD: 1486
It is now cycle 335 || CTD: 1486
It is now cycle 336 || CTD: 1486
It is now cycle 337 || CTD: 1486
It is now cycle 338 || CTD: 1486
It is now cycle 339 || CTD: 1486
It is now cycle 340 || CTD: 1486
It is now cycle 341 || CTD: 1486
It is now cycle 342 || CTD: 1486
It is now cycle 343 || CTD: 1486
It is now cycle 344 || CTD: 1486
It is now cycle 345 || CTD: 1486
It is now cycle 346 || CTD: 1486
It is now cycle 347 || CTD: 1486
It is now cycle 348 || CTD: 1486
It is now cycle 349 || CTD: 1486
It is now cycle 350 || CTD: 1486
It is now cycle 351 || CTD: 1486
It is now cycle 352 || CTD: 1486
It is now cycle 353 || CTD: 1486
It is now cycle 354 || CTD: 1486
It is now cycle 355 || CTD: 1486
It is now cycle 356 || CTD: 1486
It is now cycle 357 || CTD: 1486
It is now cycle 358 || CTD: 1486
It is now cycle 359 || CTD: 1486
It is now cycle 360 || CTD: 1486
It is now cycle 361 || CTD: 1486
It is now cycle 362 || CTD: 1486
It is now cycle 363 || CTD: 1486
It is now cycle 364 || CTD: 1486
It is now cycle 365 || CTD: 1486
It is now cycle 366 || CTD: 1486
It is now cycle 367 || CTD: 1486
It is now cycle 368 || CTD: 1486
It is now cycle 369 || CTD: 1486
It is now cycle 370 || CTD: 1486
It is now cycle 371 || CTD: 1486
It is now cycle 372 || CTD: 1486
It is now cycle 373 || CTD: 1486
It is now cycle 374 || CTD: 1486
It is now cycle 375 || CTD: 1486
It is now cycle 376 || CTD: 1486
It is now cycle 377 || CTD: 1486
It is now cycle 378 || CTD: 1486
It is now cycle 379 || CTD: 1486
It is now cycle 380 || CTD: 1486
It is now cycle 381 || CTD: 1486
It is now cycle 382 || CTD: 1486
It is now cycle 383 || CTD: 1486
It is now cycle 384 || CTD: 1486
It is now cycle 385 || CTD: 1486
It is now cycle 386 || CTD: 1486
It is now cycle 387 || CTD: 1486
It is now cycle 388 || CTD: 1486
It is now cycle 389 || CTD: 1486
It is now cycle 390 || CTD: 1486
It is now cycle 391 || CTD: 1486
It is now cycle 392 || CTD: 1486
It is now cycle 393 || CTD: 1486
It is now cycle 394 || CTD: 1486
It is now cycle 395 || CTD: 1486
It is now cycle 396 || CTD: 1486
It is now cycle 397 || CTD: 1486
It is now cycle 398 || CTD: 1486
It is now cycle 399 || CTD: 1486
It is now cycle 400 || CTD: 1486
It is now cycle 401 || CTD: 1486
It is now cycle 402 || CTD: 1486
It is now cycle 403 || CTD: 1486
It is now cycle 404 || CTD: 1486
It is now cycle 405 || CTD: 1486
It is now cycle 406 || CTD: 1486
It is now cycle 407 || CTD: 1486
It is now cycle 408 || CTD: 1486
It is now cycle 409 || CTD: 1486
It is now cycle 410 || CTD: 1486
It is now cycle 411 || CTD: 1486
It is now cycle 412 || CTD: 1486
It is now cycle 413 || CTD: 1486
It is now cycle 414 || CTD: 1486
It is now cycle 415 || CTD: 1486
It is now cycle 416 || CTD: 1486
It is now cycle 417 || CTD: 1486
It is now cycle 418 || CTD: 1486
It is now cycle 419 || CTD: 1486
It is now cycle 420 || CTD: 1486
It is now cycle 421 || CTD: 1486
It is now cycle 422 || CTD: 1486
It is now cycle 423 || CTD: 1486
It is now cycle 424 || CTD: 1486
It is now cycle 425 || CTD: 1486
It is now cycle 426 || CTD: 1486
It is now cycle 427 || CTD: 1486
It is now cycle 428 || CTD: 1486
It is now cycle 429 || CTD: 1486
It is now cycle 430 || CTD: 1486
It is now cycle 431 || CTD: 1486
It is now cycle 432 || CTD: 1486
It is now cycle 433 || CTD: 1486
It is now cycle 434 || CTD: 1486
It is now cycle 435 || CTD: 1486
It is now cycle 436 || CTD: 1486
It is now cycle 437 || CTD: 1486
It is now cycle 438 || CTD: 1486
It is now cycle 439 || CTD: 1486
It is now cycle 440 || CTD: 1486
It is now cycle 441 || CTD: 1486
It is now cycle 442 || CTD: 1486
It is now cycle 443 || CTD: 1486
It is now cycle 444 || CTD: 1486
It is now cycle 445 || CTD: 1486
It is now cycle 446 || CTD: 1486
It is now cycle 447 || CTD: 1486
It is now cycle 448 || CTD: 1486
It is now cycle 449 || CTD: 1486
It is now cycle 450 || CTD: 1486
It is now cycle 451 || CTD: 1486
It is now cycle 452 || CTD: 1486
It is now cycle 453 || CTD: 1486
It is now cycle 454 || CTD: 1486
It is now cycle 455 || CTD: 1486
It is now cycle 456 || CTD: 1486
It is now cycle 457 || CTD: 1486
It is now cycle 458 || CTD: 1486
It is now cycle 459 || CTD: 1486
It is now cycle 460 || CTD: 1486
It is now cycle 461 || CTD: 1486
It is now cycle 462 || CTD: 1486
It is now cycle 463 || CTD: 1486
It is now cycle 464 || CTD: 1486
It is now cycle 465 || CTD: 1486
It is now cycle 466 || CTD: 1486
It is now cycle 467 || CTD: 1486
It is now cycle 468 || CTD: 1486
It is now cycle 469 || CTD: 1486
It is now cycle 470 || CTD: 1486
It is now cycle 471 || CTD: 1486
It is now cycle 472 || CTD: 1486
It is now cycle 473 || CTD: 1486
It is now cycle 474 || CTD: 1486
It is now cycle 475 || CTD: 1486
It is now cycle 476 || CTD: 1486
It is now cycle 477 || CTD: 1486
It is now cycle 478 || CTD: 1486
It is now cycle 479 || CTD: 1486
It is now cycle 480 || CTD: 1486
It is now cycle 481 || CTD: 1486
It is now cycle 482 || CTD: 1486
It is now cycle 483 || CTD: 1486
It is now cycle 484 || CTD: 1486
It is now cycle 485 || CTD: 1486
It is now cycle 486 || CTD: 1486
It is now cycle 487 || CTD: 1486
It is now cycle 488 || CTD: 1486
It is now cycle 489 || CTD: 1486
It is now cycle 490 || CTD: 1486
It is now cycle 491 || CTD: 1486
It is now cycle 492 || CTD: 1486
It is now cycle 493 || CTD: 1486
It is now cycle 494 || CTD: 1486
It is now cycle 495 || CTD: 1486
It is now cycle 496 || CTD: 1486
It is now cycle 497 || CTD: 1486
It is now cycle 498 || CTD: 1486
It is now cycle 499 || CTD: 1486
It is now cycle 500 || CTD: 1486
It is now cycle 501 || CTD: 1486
It is now cycle 502 || CTD: 1486
It is now cycle 503 || CTD: 1486
It is now cycle 504 || CTD: 1486
It is now cycle 505 || CTD: 1486
It is now cycle 506 || CTD: 1486
It is now cycle 507 || CTD: 1486
It is now cycle 508 || CTD: 1486
It is now cycle 509 || CTD: 1486
It is now cycle 510 || CTD: 1486
It is now cycle 511 || CTD: 1486
It is now cycle 512 || CTD: 1486
It is now cycle 513 || CTD: 1486
It is now cycle 514 || CTD: 1486
It is now cycle 515 || CTD: 1486
It is now cycle 516 || CTD: 1486
It is now cycle 517 || CTD: 1486
It is now cycle 518 || CTD: 1486
It is now cycle 519 || CTD: 1486
It is now cycle 520 || CTD: 1486
It is now cycle 521 || CTD: 1486
It is now cycle 522 || CTD: 1486
It is now cycle 523 || CTD: 1486
It is now cycle 524 || CTD: 1486
It is now cycle 525 || CTD: 1486
It is now cycle 526 || CTD: 1486
It is now cycle 527 || CTD: 1486
It is now cycle 528 || CTD: 1486
It is now cycle 529 || CTD: 1486
It is now cycle 530 || CTD: 1486
It is now cycle 531 || CTD: 1486
It is now cycle 532 || CTD: 1486
It is now cycle 533 || CTD: 1486
It is now cycle 534 || CTD: 1486
It is now cycle 535 || CTD: 1486
It is now cycle 536 || CTD: 1486
It is now cycle 537 || CTD: 1486
It is now cycle 538 || CTD: 1486
It is now cycle 539 || CTD: 1486
It is now cycle 540 || CTD: 1486
It is now cycle 541 || CTD: 1486
It is now cycle 542 || CTD: 1486
It is now cycle 543 || CTD: 1486
It is now cycle 544 || CTD: 1486
It is now cycle 545 || CTD: 1486
It is now cycle 546 || CTD: 1486
It is now cycle 547 || CTD: 1486
It is now cycle 548 || CTD: 1486
It is now cycle 549 || CTD: 1486
It is now cycle 550 || CTD: 1486
It is now cycle 551 || CTD: 1486
It is now cycle 552 || CTD: 1486
It is now cycle 553 || CTD: 1486
It is now cycle 554 || CTD: 1486
It is now cycle 555 || CTD: 1486
It is now cycle 556 || CTD: 1486
It is now cycle 557 || CTD: 1486
It is now cycle 558 || CTD: 1486
It is now cycle 559 || CTD: 1486
It is now cycle 560 || CTD: 1486
It is now cycle 561 || CTD: 1486
It is now cycle 562 || CTD: 1486
It is now cycle 563 || CTD: 1486
It is now cycle 564 || CTD: 1486
It is now cycle 565 || CTD: 1486
It is now cycle 566 || CTD: 1486
It is now cycle 567 || CTD: 1486
It is now cycle 568 || CTD: 1486
It is now cycle 569 || CTD: 1486
It is now cycle 570 || CTD: 1486
It is now cycle 571 || CTD: 1486
It is now cycle 572 || CTD: 1486
It is now cycle 573 || CTD: 1486
It is now cycle 574 || CTD: 1486
It is now cycle 575 || CTD: 1486
It is now cycle 576 || CTD: 1486
It is now cycle 577 || CTD: 1486
It is now cycle 578 || CTD: 1486
It is now cycle 579 || CTD: 1486
It is now cycle 580 || CTD: 1486
It is now cycle 581 || CTD: 1486
It is now cycle 582 || CTD: 1486
It is now cycle 583 || CTD: 1486
It is now cycle 584 || CTD: 1486
It is now cycle 585 || CTD: 1486
It is now cycle 586 || CTD: 1486
It is now cycle 587 || CTD: 1486
It is now cycle 588 || CTD: 1486
It is now cycle 589 || CTD: 1486
It is now cycle 590 || CTD: 1486
It is now cycle 591 || CTD: 1486
It is now cycle 592 || CTD: 1486
It is now cycle 593 || CTD: 1486
It is now cycle 594 || CTD: 1486
It is now cycle 595 || CTD: 1486
It is now cycle 596 || CTD: 1486
It is now cycle 597 || CTD: 1486
It is now cycle 598 || CTD: 1486
It is now cycle 599 || CTD: 1486
It is now cycle 600 || CTD: 1486
It is now cycle 601 || CTD: 1486
It is now cycle 602 || CTD: 1486
It is now cycle 603 || CTD: 1486
It is now cycle 604 || CTD: 1486
It is now cycle 605 || CTD: 1486
It is now cycle 606 || CTD: 1486
It is now cycle 607 || CTD: 1486
It is now cycle 608 || CTD: 1486
It is now cycle 609 || CTD: 1486
It is now cycle 610 || CTD: 1486
It is now cycle 611 || CTD: 1486
It is now cycle 612 || CTD: 1486
It is now cycle 613 || CTD: 1486
It is now cycle 614 || CTD: 1486
It is now cycle 615 || CTD: 1486
It is now cycle 616 || CTD: 1486
It is now cycle 617 || CTD: 1486
It is now cycle 618 || CTD: 1486
It is now cycle 619 || CTD: 1486
It is now cycle 620 || CTD: 1486
It is now cycle 621 || CTD: 1486
It is now cycle 622 || CTD: 1486
It is now cycle 623 || CTD: 1486
It is now cycle 624 || CTD: 1486
It is now cycle 625 || CTD: 1486
It is now cycle 626 || CTD: 1486
It is now cycle 627 || CTD: 1486
It is now cycle 628 || CTD: 1486
It is now cycle 629 || CTD: 1486
It is now cycle 630 || CTD: 1486
It is now cycle 631 || CTD: 1486
It is now cycle 632 || CTD: 1486
It is now cycle 633 || CTD: 1486
It is now cycle 634 || CTD: 1486
It is now cycle 635 || CTD: 1486
It is now cycle 636 || CTD: 1486
It is now cycle 637 || CTD: 1486
It is now cycle 638 || CTD: 1486
It is now cycle 639 || CTD: 1486
It is now cycle 640 || CTD: 1486
It is now cycle 641 || CTD: 1486
It is now cycle 642 || CTD: 1486
It is now cycle 643 || CTD: 1486
It is now cycle 644 || CTD: 1486
It is now cycle 645 || CTD: 1486
It is now cycle 646 || CTD: 1486
It is now cycle 647 || CTD: 1486
It is now cycle 648 || CTD: 1486
